made_shot,region,defender_distance
1,Paint,2.205483825399768
1,Near hoop,2.4191185817359164
0,Near hoop,1.046148636188951
0,Mid-range,5.653136772102722
0,Near hoop,0.5352527900908142
0,Corner Three,2.3418945781781035
1,Mid-range,0.5336779920513943
0,Mid-range,5.145471946527348
0,Paint,2.176087746047938
1,Paint,2.2736504337298618
0,Paint,0.646870832933442
0,Corner Three,8.816244405074078
0,Corner Three,4.612251753081139
0,Corner Three,4.945703519510647
0,Mid-range,4.981160764892054
0,Corner Three,5.832954115583293
1,Mid-range,7.722936129303414
0,Paint,2.3567452870643466
1,Near hoop,0.9338513347423127
0,Near hoop,1.4566954312415479
0,Mid-range,2.7220907359233992
0,Paint,3.8948684505641524
0,Arc Three,6.840386289165253
0,Near hoop,3.503446076793533
0,Near hoop,0.06625138564588604
0,Paint,4.7420482487633935
0,Paint,4.155101403154922
0,Arc Three,5.678547847416627
1,Near hoop,1.1915508251853961
1,Corner Three,6.2208215162468665
1,Near hoop,6.141454195424728
0,Paint,2.65475541536316
0,Paint,1.8341375836343352
1,Near hoop,2.4376190976647685
0,Paint,1.9382046646316828
0,Mid-range,1.113342727150992
1,Near hoop,1.0693139183607416
0,Near hoop,3.6993252523129136
0,Arc Three,5.14100972943059
1,Mid-range,5.065134270322955
0,Near hoop,3.9319779070717114
0,Mid-range,4.690114095936255
0,Near hoop,1.336229113326
1,Arc Three,5.183495907869515
0,Paint,4.521271985105516
0,Arc Three,4.972971419996301
0,Arc Three,4.7313393661626115
0,Corner Three,5.563901958131535
1,Paint,1.8534270182556396
0,Corner Three,6.419819640464986
0,Near hoop,2.7175147686259233
0,Near hoop,0.36589642865160404
1,Near hoop,0.6336154310778752
1,Corner Three,3.577401023438665
1,Near hoop,0.4902946073535794
1,Near hoop,3.4906861923839454
0,Mid-range,4.92820406124787
0,Paint,5.338894865793852
1,Paint,3.627569286684954
0,Mid-range,3.8020366353311212
0,Mid-range,7.520287459007137
0,Near hoop,0.031456930873814695
1,Near hoop,1.6615614859823837
1,Near hoop,1.6432635054975233
0,Corner Three,4.099696054148405
0,Paint,1.2212609972073896
0,Paint,0.9422924236138149
0,Arc Three,5.461347200288585
1,Near hoop,3.6534223452127716
1,Paint,0.6392147440414723
1,Paint,3.5868008437185357
0,Mid-range,6.430306253562111
0,Arc Three,3.114730651356549
1,Corner Three,4.9261284061623956
1,Arc Three,3.9744248842945793
1,Arc Three,5.160504813465444
0,Corner Three,7.897923071504315
0,Mid-range,3.0669180087670953
0,Mid-range,3.7731232467546034
0,Mid-range,2.4521127054848035
1,Corner Three,3.5359994099688383
0,Mid-range,4.888045535651238
0,Arc Three,5.648915419272978
1,Paint,0.81873728490891
0,Paint,2.1585737661706164
1,Near hoop,2.711197260031072
0,Mid-range,4.931014182062347
0,Near hoop,1.3538544555453438
0,Arc Three,6.149562067375199
0,Mid-range,5.432546682247658
0,Arc Three,1.6082578875603262
0,Arc Three,3.8425530982017606
0,Paint,5.757531269502581
0,Mid-range,2.1629086401649054
1,Arc Three,4.423777947772698
1,Mid-range,7.662993425476755
1,Near hoop,3.8356128824087588
0,Paint,3.9969458805693145
1,Near hoop,4.661442838714216
0,Near hoop,1.5586990937958496
0,Mid-range,0.7319768745664043
1,Corner Three,3.9658079370161143
0,Near hoop,1.2697092100555936
1,Corner Three,5.730014592066936
0,Paint,7.187120622231131
1,Mid-range,5.234724063883394
0,Paint,5.633032767701607
0,Near hoop,3.927524355837912
0,Arc Three,4.774090673646658
0,Mid-range,4.266968719008845
0,Paint,6.808529926562707
1,Arc Three,5.5363572045614955
0,Paint,4.050808661242839
0,Arc Three,4.017298654270062
0,Arc Three,4.638501535323665
1,Paint,3.0519323067361785
0,Paint,0.30621127428623474
0,Arc Three,2.041421587521795
1,Paint,4.0879813981964315
1,Paint,1.3077704165869488
0,Arc Three,5.9996863378180025
0,Near hoop,2.3197934339505335
0,Corner Three,4.76569144383058
0,Corner Three,5.828106446428381
0,Paint,2.8001738683338937
0,Near hoop,1.2413020533294867
0,Near hoop,2.4045157717303502
0,Arc Three,5.540045637691084
0,Mid-range,3.884082223447394
0,Near hoop,4.24518633957333
1,Mid-range,2.7042120760953656
1,Near hoop,1.7154378811254025
1,Corner Three,5.404776499153318
1,Arc Three,5.399552587511299
0,Paint,4.548504871592415
1,Paint,1.3944007488882102
0,Arc Three,3.7832767239259715
0,Paint,1.3088879921903147
1,Paint,1.9298180459566685
1,Mid-range,4.298621905890305
1,Paint,0.7598363330349509
0,Arc Three,7.43418679765985
0,Paint,3.68197708158267
0,Mid-range,8.151007876949933
1,Paint,1.813849656090602
0,Paint,4.380116533438352
1,Near hoop,2.6719447391366464
0,Corner Three,6.046508318194889
0,Near hoop,1.5342567254537296
0,Corner Three,7.31991365007129
1,Corner Three,5.7327808768345525
0,Arc Three,5.078726028995853
1,Mid-range,4.654409875086209
0,Paint,2.026190172812014
0,Near hoop,1.1301256585884596
0,Mid-range,1.3629945576193625
0,Near hoop,1.2350594994978978
0,Near hoop,0.8692207977263275
0,Near hoop,0.8078769897701009
1,Arc Three,5.623326782439383
1,Arc Three,8.79633515638188
0,Arc Three,3.5924908212547995
0,Corner Three,3.3736118952837466
0,Near hoop,1.2437140350579028
1,Mid-range,9.037425903900955
0,Mid-range,1.1211017603233002
0,Mid-range,2.6147074073402528
1,Paint,0.4127902417693515
1,Near hoop,1.7300644758505404
1,Arc Three,6.05441768480669
0,Mid-range,3.6945589410645545
0,Arc Three,4.320277099562017
0,Arc Three,5.891400402493454
1,Near hoop,5.479035764110326
1,Near hoop,7.066184331907853
0,Near hoop,0.4011101785046134
0,Paint,5.072629365378468
1,Mid-range,3.0479575320040047
0,Arc Three,8.901672461397354
0,Mid-range,5.739810716966197
1,Near hoop,2.3431779166764093
0,Paint,1.7141071329995643
0,Paint,1.7251104196543385
0,Arc Three,6.983978857714275
0,Paint,0.7398746992565709
0,Paint,1.6232439784887538
0,Mid-range,7.707108440355564
1,Near hoop,4.141257386495084
0,Near hoop,2.0205859669907635
0,Near hoop,2.3861662837279356
0,Corner Three,4.789425693473069
0,Mid-range,4.37180660185237
1,Paint,4.133400422956866
0,Corner Three,8.311457798100163
1,Paint,2.033515753393611
0,Near hoop,3.5647566463084135
0,Corner Three,6.767310373035953
1,Paint,1.9418053676411562
1,Mid-range,8.407086829032991
0,Arc Three,3.942014477193097
1,Corner Three,4.98182952089892
1,Near hoop,1.2489128456781922
0,Paint,3.313798806098523
1,Paint,1.9921041613831318
0,Arc Three,8.166697636866445
1,Arc Three,4.311387728435013
0,Mid-range,8.233616900803678
1,Near hoop,1.7059737416502059
1,Paint,5.802510021102936
1,Near hoop,1.568117169665582
0,Arc Three,8.66800671511046
1,Near hoop,1.7358872343559664
1,Paint,2.44059031680862
0,Near hoop,3.842792815349272
0,Mid-range,3.411978606395417
1,Near hoop,2.121829218975929
0,Corner Three,6.923172515270727
1,Near hoop,1.7616419023740328
0,Corner Three,8.592040137010535
0,Corner Three,4.547854979855885
0,Corner Three,6.158292633230416
0,Arc Three,6.686810768707306
0,Mid-range,3.9462665763985076
1,Paint,2.2017026156363637
1,Near hoop,4.906174251542643
1,Near hoop,2.883868369343511
0,Corner Three,7.255089236473938
0,Near hoop,3.2947055529895244
0,Corner Three,2.534625786541277
1,Near hoop,1.84926191430527
0,Near hoop,1.403160911834418
1,Arc Three,3.9513782081952087
0,Mid-range,7.2295345295530655
1,Near hoop,1.3740961999801875
1,Near hoop,3.909403512724157
1,Paint,0.6277313254888588
1,Near hoop,2.73123877024694
1,Near hoop,3.925641188099083
1,Paint,3.5224164672139433
1,Mid-range,2.7833684597084893
1,Paint,3.610339836026518
0,Paint,1.9766087328806365
0,Mid-range,7.26753524691831
0,Paint,2.26260654876185
1,Near hoop,3.0474422960902836
0,Arc Three,6.134289445314753
0,Corner Three,2.3474763830547887
0,Paint,2.0372370243052202
0,Arc Three,4.612556690470048
0,Paint,3.387292205228236
0,Near hoop,4.418862487394236
1,Paint,4.803599985115329
1,Near hoop,5.475203410376646
0,Near hoop,0.6179451925535141
0,Arc Three,5.890956876000706
0,Arc Three,4.947855909179246
1,Near hoop,1.8650872825956435
0,Mid-range,2.69475165974529
0,Arc Three,6.367005153759499
0,Mid-range,3.77401001569948
0,Arc Three,5.909407203002686
1,Arc Three,5.021879249225335
0,Arc Three,4.850321217620539
0,Paint,2.1842542061765613
0,Paint,2.2642185879017958
0,Mid-range,6.679673655688579
0,Paint,2.067569900849787
1,Arc Three,4.890099543905009
0,Paint,2.540367095126215
0,Mid-range,4.759726870756337
0,Near hoop,4.644770432497176
0,Paint,1.333337950033673
1,Arc Three,4.88484952624951
1,Mid-range,7.329062411045494
1,Arc Three,6.19612437509933
1,Paint,1.9172634133576938
0,Corner Three,6.701862756174579
1,Mid-range,9.851070889669813
1,Paint,3.1315458012457684
0,Mid-range,0.685505440970383
0,Mid-range,7.193425930563264
0,Paint,2.849566760281289
0,Corner Three,4.628624279945391
1,Corner Three,5.915519696019953
0,Corner Three,4.091423408753975
0,Paint,1.843002064567479
0,Corner Three,4.9755279609303775
1,Mid-range,4.390495076879144
0,Paint,2.0351264051650446
0,Near hoop,6.885153781325441
0,Near hoop,1.2839999888239906
1,Near hoop,2.85717086433416
0,Arc Three,5.331708060368644
0,Corner Three,5.490731116436134
0,Mid-range,2.448357985916275
1,Arc Three,9.936131691885931
1,Corner Three,4.248844814911457
1,Near hoop,4.656737405201197
1,Mid-range,4.88745865997862
0,Near hoop,0.36119430366494026
0,Mid-range,3.6725498111530093
1,Near hoop,3.374642804698001
1,Paint,1.5225566567454905
1,Mid-range,8.095370356944754
1,Arc Three,5.833369150670991
0,Mid-range,6.966391436410961
0,Paint,4.000302732169159
0,Paint,2.8115826603889835
0,Paint,3.0094799955141758
0,Mid-range,3.1147682754420147
0,Mid-range,3.7627254572317654
0,Paint,3.5987321584413587
1,Near hoop,0.2861286188062983
0,Paint,0.6363370619412329
1,Near hoop,1.7619224264989648
0,Near hoop,1.3383009621531226
0,Corner Three,4.84192303344446
1,Corner Three,4.500971866663908
0,Near hoop,8.4255226399138
1,Near hoop,3.110253377347253
0,Paint,2.750627130183222
0,Paint,4.840399038633076
1,Near hoop,4.997704491484064
1,Near hoop,2.239526887626047
0,Paint,2.4832957385297423
1,Near hoop,1.2802578990969056
0,Mid-range,4.150232476813799
1,Corner Three,4.1484831574082595
1,Near hoop,1.8967966390733682
1,Paint,1.9252339081005199
0,Near hoop,0.5799047567489085
0,Near hoop,2.048919896921299
0,Paint,2.0065132310802234
0,Corner Three,6.782954019931139
0,Arc Three,3.3956721050920105
0,Arc Three,4.662029242518756
0,Near hoop,1.948832971447273
0,Corner Three,4.163660070478857
0,Near hoop,4.77895376451792
0,Arc Three,5.077354100483832
0,Paint,2.6085721851043338
1,Near hoop,2.3451151600721003
1,Paint,4.956200325450938
0,Arc Three,5.2788325039254635
0,Near hoop,1.8682442932603858
1,Mid-range,4.26576569914477
0,Near hoop,3.19919323000346
1,Arc Three,6.423396000699321
0,Near hoop,3.0508347255300468
0,Paint,1.6388328511474246
0,Arc Three,6.55660596177626
1,Paint,1.6117410400247285
1,Near hoop,3.5201629877748566
1,Near hoop,2.4174049368899686
1,Paint,3.3700180809603983
0,Near hoop,1.1555293043449868
0,Near hoop,1.3554984884536014
0,Arc Three,5.4564994276642205
1,Near hoop,0.7846067591475361
1,Near hoop,1.6934889194204943
0,Paint,6.359963980283224
1,Paint,2.135462167798813
1,Near hoop,2.3734615636239003
0,Near hoop,1.1848234149019898
0,Corner Three,5.804192567877122
1,Mid-range,5.785770213178192
0,Corner Three,7.62778841597615
0,Mid-range,8.331810171745396
0,Arc Three,5.3847299166810565
1,Near hoop,1.1758968720938163
1,Paint,2.029055283031983
1,Mid-range,5.57171947342111
1,Paint,6.9962383244497905
0,Paint,0.8294816668257361
0,Arc Three,5.355111321681368
1,Mid-range,3.527720771277116
1,Near hoop,2.7828893648508526
0,Paint,3.8493878533216144
1,Paint,3.665682339278729
0,Corner Three,5.2623222604473785
1,Paint,2.478257304639691
1,Near hoop,3.2185478663521536
0,Corner Three,5.87863603113001
0,Paint,5.496411361697739
1,Arc Three,5.326042153945085
0,Mid-range,3.236756783649331
0,Paint,6.852699320333558
0,Arc Three,7.8422077561870305
1,Paint,1.340050983246535
0,Corner Three,6.805147069637806
1,Paint,2.059349731347253
1,Near hoop,2.382611761596924
0,Mid-range,2.985968974604393
0,Mid-range,2.87372848627006
0,Paint,5.562321811707769
1,Paint,6.5753201285184595
1,Paint,2.965141670308508
0,Arc Three,6.340573145993981
0,Arc Three,7.235569289668917
1,Paint,4.605045443999438
0,Paint,3.682156221699457
0,Arc Three,4.622646704486513
1,Paint,2.939527883198251
1,Corner Three,4.509092038271119
1,Paint,1.6476236287756996
1,Near hoop,1.9749596002197183
1,Near hoop,1.183489262857927
1,Corner Three,4.6958346123452905
1,Near hoop,5.2007569481759095
0,Near hoop,3.0634450314800805
1,Near hoop,3.9234761000164124
0,Arc Three,3.7466663005931027
1,Paint,1.798847009225631
0,Paint,2.807639154307405
1,Mid-range,2.3244598689803113
0,Arc Three,2.8643461488618986
1,Arc Three,9.812529644515731
1,Mid-range,5.5647708990487645
1,Corner Three,5.096886358248538
0,Near hoop,1.2074390727900104
1,Mid-range,3.753068977410356
0,Paint,2.069789317418566
0,Paint,1.3409270373141138
0,Near hoop,2.800827259025449
1,Mid-range,4.016482678326897
0,Corner Three,5.7470852170121844
0,Arc Three,2.7139280068933274
0,Corner Three,5.944327596372865
0,Paint,3.8867659491150235
1,Near hoop,1.8003320041036843
1,Near hoop,3.100355828642891
1,Near hoop,2.7805660140697968
1,Paint,1.1656478507679653
0,Near hoop,3.2968799560341893
0,Paint,6.030810582765801
0,Near hoop,1.1780676364708438
0,Corner Three,3.2070168072213154
0,Arc Three,4.365739438239528
1,Corner Three,4.365432482790222
1,Mid-range,2.56322778796579
0,Mid-range,6.426509084261844
1,Paint,3.4747363352778287
0,Paint,6.544627213600484
0,Near hoop,1.8842206253249623
1,Paint,2.8631096787409316
0,Paint,4.491321816804045
0,Mid-range,4.521340280337238
0,Paint,1.2523009629078772
0,Paint,2.948945337930161
0,Corner Three,3.721288501003382
1,Near hoop,0.7234279259884866
0,Mid-range,5.801021012287406
1,Near hoop,2.573455768728118
0,Mid-range,3.8642234024057145
1,Near hoop,1.4771350948711495
1,Near hoop,4.841048054306007
1,Mid-range,3.15197438498475
0,Corner Three,7.777101212694867
0,Arc Three,3.7888164617067437
0,Mid-range,5.718804937152516
1,Paint,3.5046819886117997
0,Mid-range,8.234459146015602
1,Paint,3.198644190356278
1,Near hoop,2.2154677181353835
1,Mid-range,4.021356629919809
1,Mid-range,5.230205800319908
0,Arc Three,5.718970666300013
1,Arc Three,6.588506173162473
1,Paint,1.471884142859081
0,Corner Three,4.83933953685831
0,Paint,0.07811884535756625
0,Paint,3.1849685249622177
0,Arc Three,8.244767714308269
0,Mid-range,8.747152512400822
0,Paint,3.2393549790043017
1,Paint,4.021499658684556
0,Paint,3.4420784235691073
0,Corner Three,7.208037360897898
1,Corner Three,6.441212374483552
1,Mid-range,4.044600074494391
0,Mid-range,9.225884083219343
1,Mid-range,5.005737902547441
0,Mid-range,4.004443997423356
0,Paint,4.6657011389607845
0,Arc Three,7.081610551230562
1,Mid-range,2.0859374077138604
1,Paint,3.5921130333690754
1,Paint,0.4105501309219132
0,Arc Three,5.9246938262917865
1,Corner Three,6.721642034689143
0,Mid-range,5.4435048489002025
1,Paint,4.463671137135893
1,Paint,4.613926018045799
1,Arc Three,8.94147856341444
0,Arc Three,4.730655022816606
0,Mid-range,6.514493033506139
1,Paint,6.693805936625288
1,Mid-range,5.795863851161448
0,Near hoop,2.866201103063075
0,Mid-range,2.6750549111747217
0,Corner Three,4.199603781358427
0,Corner Three,3.168168156411523
0,Corner Three,4.123933617712583
1,Corner Three,2.477779729515923
0,Corner Three,4.43553942399344
0,Near hoop,0.5267345510786247
1,Mid-range,5.725551718646859
0,Near hoop,2.5470932079136768
1,Near hoop,0.06889394748452798
1,Paint,3.810870085124922
1,Near hoop,2.6874585267497624
1,Arc Three,5.410821002629827
1,Mid-range,4.043829309318087
1,Paint,0.4462401220195189
1,Mid-range,4.11781355442424
0,Paint,1.8285739152957425
1,Mid-range,4.864472016951068
1,Paint,2.4732252193845996
1,Near hoop,2.2830601173206113
0,Arc Three,5.498902419446994
1,Near hoop,2.8048558406449273
1,Paint,2.3328327004095235
1,Corner Three,9.847531698842102
0,Paint,4.309978750968499
0,Corner Three,2.9071667529228526
0,Paint,1.8053830482199618
0,Near hoop,4.221168746259739
1,Near hoop,3.3047014699969575
0,Paint,2.661552642969892
1,Corner Three,5.500414526433442
1,Paint,1.7124370657049033
1,Arc Three,8.417802545254899
1,Near hoop,0.15247812597221957
1,Near hoop,0.10762361683199809
0,Arc Three,3.872749719062671
1,Near hoop,3.0133541599022164
0,Paint,3.213719518937517
1,Paint,2.033253090493162
0,Mid-range,3.21282853373783
0,Near hoop,4.08442423428321
0,Mid-range,3.80891508512595
0,Mid-range,9.272679409588143
0,Paint,2.194029207850251
0,Near hoop,4.046387402325685
1,Mid-range,5.729410327468264
0,Corner Three,2.2861312138414096
1,Paint,3.7693085811060847
1,Near hoop,3.798485413753751
0,Near hoop,1.7319866792212908
1,Near hoop,8.141547678420855
1,Arc Three,5.458239621746192
0,Paint,4.733900751726849
0,Mid-range,5.580672275810506
1,Mid-range,3.1262215546886662
0,Near hoop,2.443009746767296
1,Paint,2.587529754128444
1,Paint,1.3561300645955745
0,Near hoop,2.2596742350392014
1,Corner Three,6.21698755020468
0,Corner Three,6.914764332903908
0,Paint,0.9877827099114455
0,Paint,0.04574091931739381
0,Corner Three,6.329402729800025
1,Paint,4.043052084663269
0,Corner Three,3.6799333385946005
0,Arc Three,8.447934341180687
1,Arc Three,6.27412545307312
1,Near hoop,4.3936164614244575
0,Arc Three,5.709965520211134
0,Paint,1.7694748510221894
0,Paint,8.595531558036416
1,Paint,2.230027843077301
0,Corner Three,4.532906028597987
0,Arc Three,2.262205082060422
0,Corner Three,3.9350410959099285
0,Corner Three,4.219906105969659
0,Mid-range,3.224504732590728
0,Near hoop,4.455222715117619
0,Paint,2.8073932932348487
0,Mid-range,6.5409230759656545
1,Mid-range,3.4929918175111743
1,Near hoop,0.45556524593081166
0,Paint,3.749709874710307
0,Near hoop,3.4131627037983407
0,Mid-range,5.1691668850212205
1,Near hoop,1.1309552141442238
0,Paint,4.197875112506327
1,Near hoop,1.2782274315629416
0,Arc Three,4.211909234788897
1,Paint,3.2566937946328336
0,Mid-range,7.646453584571089
0,Arc Three,4.2582396117762045
0,Arc Three,5.521992046146029
0,Mid-range,4.474295326082089
0,Corner Three,6.1862905116475035
0,Paint,3.336585665212275
0,Mid-range,5.831245124328076
1,Paint,2.9814720547072113
0,Mid-range,2.157623476188559
1,Near hoop,2.5269885591351646
0,Corner Three,7.567317201293994
1,Mid-range,2.8012874606152116
0,Corner Three,4.491362763716601
0,Paint,0.2035808048417128
1,Arc Three,4.341716080595318
0,Paint,1.0874756210600756
0,Corner Three,5.437404695348692
1,Near hoop,2.0337460141325385
1,Near hoop,0.9513897347564754
1,Mid-range,2.9607395859987418
0,Mid-range,4.8993992881168555
0,Mid-range,5.291953786617946
0,Paint,0.8745572160813718
0,Arc Three,8.374962330739164
0,Paint,2.3861362291579256
1,Paint,1.7504876991284453
1,Near hoop,2.855057179900254
0,Near hoop,3.247840921473821
0,Near hoop,2.1099289636620475
0,Near hoop,3.2467933872668895
1,Corner Three,0.08926285901762808
0,Paint,2.486228277552165
1,Mid-range,1.8739381166409972
1,Near hoop,3.2119015392287484
0,Arc Three,6.563779068387359
0,Paint,6.984478680574515
1,Near hoop,0.9729423108283374
1,Near hoop,2.192092103174501
1,Mid-range,7.476716287522217
1,Mid-range,6.171007197743323
0,Arc Three,5.155209490689973
0,Corner Three,4.693063087920298
1,Near hoop,2.599499764204648
1,Near hoop,3.2450671825402932
1,Arc Three,6.642120129092818
0,Mid-range,3.43534201106673
1,Mid-range,4.047124246820206
0,Arc Three,4.805232061326483
1,Mid-range,4.283458736698652
0,Paint,1.2697603090347402
1,Near hoop,2.0308372780703032
0,Arc Three,7.389562814246859
1,Near hoop,2.005855607091394
0,Paint,5.030039944175395
1,Near hoop,5.579539836814502
1,Paint,2.13259984901059
0,Paint,3.245469201979894
0,Corner Three,3.3930412377393835
0,Near hoop,5.52176699200537
0,Paint,1.2820366372690015
0,Paint,0.1311367240707207
0,Arc Three,6.0336846739699554
1,Near hoop,1.0926715727060925
1,Paint,5.341691333987765
0,Paint,2.397439294330516
0,Near hoop,4.346395059414177
0,Paint,4.339341072985618
0,Paint,3.4949393222915894
0,Near hoop,2.1401735982391688
1,Mid-range,8.947273509181445
0,Near hoop,0.7764239338144991
0,Corner Three,4.81687291375846
1,Mid-range,4.172548963139917
0,Near hoop,1.7362685442062284
0,Mid-range,3.069193503593411
0,Arc Three,8.442824993969733
1,Near hoop,3.42710474240283
1,Arc Three,8.319327721216423
0,Paint,2.597681767826854
0,Paint,2.469613133630447
1,Mid-range,3.43074922808415
0,Paint,2.2627948315302504
0,Corner Three,5.608527818420804
1,Corner Three,3.805129599264655
0,Paint,1.7137709333805389
0,Paint,2.122310852749898
1,Paint,2.2340592142555233
0,Paint,2.405137538458039
1,Arc Three,7.464902683692535
0,Mid-range,7.236418376973515
1,Near hoop,1.7486566743932304
1,Near hoop,0.44875776316404803
0,Paint,4.142612650417609
1,Near hoop,2.7140639776725966
1,Near hoop,4.673457220484644
1,Near hoop,2.840265091184273
0,Arc Three,5.565237816850238
1,Mid-range,4.82227912801613
0,Near hoop,3.0050142690010633
0,Paint,3.115705240182388
0,Mid-range,5.023702356350338
0,Arc Three,7.139249468767709
1,Paint,0.9180559024373159
0,Arc Three,6.486513749696363
0,Near hoop,1.9228861738802878
0,Paint,2.538907535240306
0,Paint,2.522489092880285
1,Paint,1.9008280469311227
1,Paint,2.8888758450649963
0,Paint,3.6843171030735173
0,Near hoop,2.7594930047564907
1,Near hoop,0.5801307767219407
0,Paint,2.8078729790359116
0,Near hoop,1.8328292704450126
0,Paint,5.059710559073514
0,Corner Three,4.767168367500776
1,Near hoop,1.672228161107205
1,Near hoop,3.2506481018098534
0,Paint,1.6989131694409685
1,Near hoop,2.886866382654383
0,Corner Three,2.7945316847192814
0,Paint,0.7442238760614999
1,Near hoop,4.047222235385646
0,Corner Three,5.487842803187789
1,Corner Three,5.290089762300824
1,Near hoop,4.363868894054907
1,Near hoop,1.5108913878899506
0,Corner Three,6.475439486706675
0,Paint,2.0699725561707343
0,Arc Three,5.049845383791478
0,Mid-range,5.084295991875379
0,Near hoop,4.444453481509285
0,Arc Three,5.866214378932968
0,Mid-range,4.53991562443621
0,Near hoop,1.5341685420448439
0,Mid-range,3.6456060102265533
0,Mid-range,3.675384348908287
0,Near hoop,2.2044157259464505
1,Near hoop,2.334466723622337
1,Paint,4.430584032156481
0,Near hoop,4.33717907310731
0,Arc Three,7.124956705903551
1,Near hoop,1.616469971419201
1,Near hoop,6.415792643913923
0,Near hoop,1.8586986785920938
0,Arc Three,2.8692196900376934
0,Paint,4.09775418711274
0,Near hoop,2.5121939374578544
0,Corner Three,6.209680671894496
1,Near hoop,3.349064593658954
1,Near hoop,1.9191162147717868
0,Corner Three,3.074790622871743
0,Paint,3.03721330581176
0,Mid-range,4.871988809264655
0,Paint,9.620118733347319
1,Near hoop,7.725692966109899
0,Arc Three,4.805034102855042
0,Corner Three,7.4081560095951
1,Near hoop,7.328159401848463
1,Paint,2.730539656057022
0,Near hoop,1.8629891046648683
0,Arc Three,5.647881101599079
0,Corner Three,5.976676060771573
1,Near hoop,1.806826766045932
0,Paint,4.282427579177493
1,Paint,5.457111161273887
0,Paint,5.983598379879785
0,Near hoop,2.4067711401169825
0,Paint,3.116627928835907
1,Mid-range,4.099077761887425
0,Arc Three,7.4527325417996835
1,Arc Three,8.737671666943088
1,Paint,2.2852874110710863
0,Near hoop,3.197215074607898
0,Mid-range,5.498353935224614
0,Paint,2.204297747265557
0,Paint,0.8416731881199494
0,Arc Three,3.784320954728868
1,Paint,8.14007350490768
1,Arc Three,4.606091213046044
1,Near hoop,1.5501548054629988
0,Near hoop,1.2914872299020237
0,Corner Three,5.606328589594085
1,Paint,0.3330454050125902
0,Near hoop,2.2373459774473865
0,Arc Three,3.9894710116129435
0,Corner Three,4.765792572175168
1,Paint,1.8828271276195272
1,Near hoop,2.545021542796841
1,Near hoop,1.0875248611411157
0,Mid-range,5.2432177244989555
0,Corner Three,6.318027677566789
1,Paint,1.4327234754131735
0,Mid-range,5.092595905527945
1,Near hoop,2.9709222091801752
0,Paint,3.092813641993324
0,Paint,2.0698645106624727
1,Paint,2.1142850965988482
0,Corner Three,6.336501541931478
0,Near hoop,4.565308948066933
